pop_name,target_rate,target_cv
CT5A,0.5,0.44
CT5B,0.5,0.43
CT6,0.5,0.38
HTC,10.0,0.75
IRE,10.4,1.97
IREM,10.5,1.28
IT2,0.1,
IT3,0.1,0.41
IT5A,2.5,0.07
IT5B,2.0,0.34
IT6,2.0,0.34
ITP4,2.1,0.37
ITS4,4.8,0.41
NGF1,20.3,0.62
NGF2,20.3,0.67
NGF3,20.3,0.63
NGF4,20.3,0.62
NGF5A,20.6,0.71
NGF5B,20.4,0.62
NGF6,20.6,0.62
PT5B,3.8,0.48
PV2,9.3,1.13
PV3,9.6,1.15
PV4,10.1,1.17
PV5A,9.2,1.2
PV5B,9.3,1.14
PV6,12.1,1.22
SOM2,5.6,0.69
SOM3,5.1,0.59
SOM4,7.5,
SOM5A,4.9,0.61
SOM5B,4.9,0.57
SOM6,5.0,0.62
TC,9.9,0.77
TCM,9.9,0.76
TI,10.4,0.71
TIM,10.6,0.7
VIP2,13.9,0.39
VIP3,13.9,0.41
VIP4,14.2,0.41
VIP5A,14.2,0.42
VIP5B,13.8,0.41
VIP6,20.9,0.29
